name,actor_type,Coordinator,Itinerant,Representative,Gatekeeper,Liaison,Total
SC Sea Grant Consortium (SCSGC),science-extension,258,113,230,231,44,876
SCDNR Shellfish Management Section,regulatory,113,12,355,70,219,769
South Carolina Shellfish Growers Association (SCSGA),advocacy,56,175,149,165,163,708
SCDES Shellfish Sanitation Section,regulatory,15,0,104,4,18,141
SCDNR MRRI / Shellfish Research,regulatory,95,0,18,19,2,134
Matt Gorstein,science-extension,16,4,19,19,12,70
SCDES Bureau of Coastal Management,regulatory,1,0,26,2,24,53
U.S. Army Corps of Engineers Charleston Regulatory Office,regulatory,1,0,48,0,0,49
Peter Kingsley-Smith,regulatory,4,2,13,13,0,32
Susan Lovelace,science-extension,2,10,7,7,6,32
College of Charleston (institutional),science-extension,18,0,5,5,0,28
Caitlyn Mayer,industry,0,0,3,3,14,20
Lauren Faulk,regulatory,12,0,4,4,0,20
Gary Sundin,regulatory,8,0,4,4,0,16
Clemson University (institutional),science-extension,14,0,0,0,0,14
South Carolina Aquarium,advocacy,12,0,0,0,0,12
Tanya Darden,regulatory,8,0,2,2,0,12
Sarah Pedigo,science-extension,4,0,3,3,2,12
Andrew Richard,regulatory,1,0,3,5,2,11
Steve Richards,science-extension,10,0,0,0,0,10
Jeff Massey,industry,0,0,2,2,5,9
Erin Levesque,regulatory,4,0,2,2,0,8
Mike Marshall,regulatory,8,0,0,0,0,8
Larry Toomer,industry,0,0,1,2,3,6
Thomas (Tom) Bierce,industry,0,0,1,1,4,6
SC Department of Agriculture (SCDA),regulatory,0,1,0,1,3,5
SCDNR Marine Permitting Office (Indigenous Molluscan Importation),regulatory,0,2,2,1,0,5
Imani Black,advocacy,0,0,2,2,0,4
Trey McMillan,industry,0,0,0,0,4,4
William Green,industry,0,0,0,0,4,4
Craig Reeves,industry,0,1,0,0,2,3
Andrew Speaker,industry,0,0,0,0,2,2
Andy Hollis,regulatory,2,0,0,0,0,2
Bill Cox,industry,0,2,0,0,0,2
Bob Baldwin,industry,0,0,0,0,2,2
East Coast Shellfish Growers Association (ECSGA),advocacy,0,0,1,1,0,2
Julie Davis,industry,0,0,0,0,2,2
Louden Porter,advocacy,0,0,1,1,0,2
Mikayla Milford,science-extension,0,0,1,1,0,2
Minorities in Aquaculture (MIA),advocacy,2,0,0,0,0,2
SCDNR Wholesale Shellfish Endorsement,regulatory,0,0,2,0,0,2
The Nature Conservancy SC Program,advocacy,0,1,0,1,0,2
Tracy Smart,regulatory,0,0,1,1,0,2
